,pval,alpha,reject
0,1.0,0.0,False
1,1.0,0.0,False
2,1.0,0.0,False
3,1.0,0.0,False
4,1.0,0.0,False
5,1.0,0.0,False
6,1.0,0.0,False
7,1.0,0.0,False
8,1.0,0.0,False
9,1.0,0.0,False
10,1.0,0.0,False
11,1.0,0.0,False
12,1.0,0.0,False
13,1.0,0.0,False
14,1.0,0.0,False
15,1.0,0.0,False
16,1.0,0.0,False
17,1.0,0.0,False
18,1.0,0.0,False
19,1.0,0.0,False
20,1.0,0.0,False
21,1.0,0.0,False
22,1.0,0.0,False
23,1.0,0.0,False
24,1.0,0.0,False
25,1.0,0.0,False
26,1.0,0.0,False
27,1.0,0.0,False
28,1.0,0.0,False
29,1.0,0.0,False
30,1.0,0.0,False
31,1.0,0.0,False
32,1.0,0.0,False
33,1.0,0.0,False
34,1.0,0.0,False
35,1.0,0.0,False
36,1.0,0.0,False
37,1.0,0.0,False
38,1.0,0.0,False
39,1.0,0.0,False
40,1.0,0.0,False
41,1.0,0.0,False
42,1.0,0.0,False
43,1.0,0.0,False
44,1.0,0.0,False
45,1.0,0.0,False
46,1.0,0.0,False
47,1.0,0.0,False
48,1.0,0.0,False
49,1.0,0.0,False
50,1.0,0.0,False
51,1.0,0.0,False
52,1.0,0.0,False
53,1.0,0.0,False
54,1.0,0.0,False
55,1.0,0.0,False
56,1.0,0.0,False
57,1.0,0.0,False
58,1.0,0.0,False
59,1.0,0.0,False
60,1.0,0.0,False
61,1.0,0.0,False
62,1.0,0.0,False
63,1.0,0.0,False
64,1.0,0.0,False
65,1.0,0.0,False
66,1.0,0.0,False
67,1.0,0.0,False
68,1.0,0.0,False
69,1.0,0.0,False
70,1.0,0.0,False
71,1.0,0.0,False
72,1.0,0.0,False
73,1.0,0.0,False
74,1.0,0.0,False
75,1.0,0.0,False
76,1.0,0.0,False
77,1.0,0.0,False
78,1.0,0.0,False
79,1.0,0.0,False
80,1.0,0.0,False
81,1.0,0.0,False
82,1.0,0.0,False
83,1.0,0.0,False
84,1.0,0.0,False
85,1.0,0.0,False
86,1.0,0.0,False
87,1.0,0.0,False
88,1.0,0.0,False
89,1.0,0.0,False
90,1.0,0.0,False
91,1.0,0.0,False
92,1.0,0.0,False
93,1.0,0.0,False
94,1.0,0.0,False
95,1.0,0.0,False
96,1.0,0.0,False
97,1.0,0.0,False
98,1.0,0.0,False
99,1.0,0.0,False
100,1.0,0.0,False
101,1.0,0.0,False
102,1.0,0.0,False
103,1.0,0.0,False
104,1.0,0.0,False
105,1.0,0.0,False
106,1.0,0.0,False
107,1.0,0.0,False
108,1.0,0.0,False
109,1.0,0.0,False
110,1.0,0.0,False
111,1.0,0.0,False
112,1.0,0.0,False
113,1.0,0.0,False
114,1.0,0.0,False
115,1.0,0.0,False
116,1.0,0.0,False
117,1.0,0.0,False
118,1.0,0.0,False
119,1.0,0.0,False
120,1.0,0.0,False
121,1.0,0.0,False
122,1.0,0.0,False
123,1.0,0.0,False
124,1.0,0.0,False
125,1.0,0.0,False
126,1.0,0.0,False
127,1.0,0.0,False
128,1.0,0.0,False
129,1.0,0.0,False
130,1.0,0.0,False
131,1.0,0.0,False
132,1.0,0.0,False
133,1.0,0.0,False
134,1.0,0.0,False
135,1.0,0.0,False
136,1.0,0.0,False
137,1.0,0.0,False
138,1.0,0.0,False
139,1.0,0.0,False
140,1.0,0.0,False
141,1.0,0.0,False
142,1.0,0.0,False
143,1.0,0.0,False
144,1.0,0.0,False
145,1.0,0.0,False
146,1.0,0.0,False
147,1.0,0.0,False
148,1.0,0.0,False
149,0.5090885423317516,1.9894232679091968e-45,False
150,1.0,0.0,False
151,1.0,0.0,False
152,1.0,0.0,False
153,1.0,0.0,False
154,1.0,0.0,False
155,1.0,0.0,False
156,1.0,0.0,False
157,1.0,0.0,False
158,1.0,0.0,False
159,1.0,0.0,False
160,1.0,0.0,False
161,1.0,0.0,False
162,0.11527369423611823,3.2800044582276526e-45,False
163,0.8417967683903453,5.40781311827118e-45,False
164,1.0,0.0,False
165,1.0,0.0,False
166,1.0,0.0,False
167,1.0,0.0,False
168,1.0,0.0,False
169,1.0,0.0,False
170,0.10315125657439009,8.915976516064884e-45,False
171,1.0,0.0,False
172,1.0,0.0,False
173,0.1671482800730833,1.4699960131098997e-44,False
174,0.5346421121628031,2.423613694658676e-44,False
175,1.0,0.0,False
176,0.2532054893439068,3.995863450343885e-44,False
177,1.0,0.0,False
178,1.0,0.0,False
179,1.0,0.0,False
180,0.12324782979984518,6.588065065395168e-44,False
181,0.6129900725758162,1.0861883006073444e-43,False
182,0.4686287842876486,1.7908217551969538e-43,False
183,0.18443843423741949,2.9525659198257553e-43,False
184,1.0,0.0,False
185,0.3867614427274327,4.867958235161012e-43,False
186,0.9801479405577179,8.025906287189817e-43,False
187,0.9522222619316187,1.3232482412335742e-42,False
188,0.6261341085718404,2.1816675217383284e-42,False
189,0.6016266267488529,3.596961648685616e-42,False
190,0.8801748719642806,5.930387180080577e-42,False
191,0.9020986071591253,9.777555487286197e-42,False
192,1.0,0.0,False
193,0.6300038513377739,1.6120463707339508e-41,False
194,0.039393908791186885,2.6578151407840094e-41,False
195,0.8166579478111016,0.019673467014368333,False
196,0.7011942710782257,4.3819963561994527e-41,False
197,0.8856813321777766,7.224690600596493e-41,False
198,0.0,0.011932560927059558,True
