,delta,Tau,Method,Recovery
955,2,0.1,Randomized,0
956,2,0.0,Naive,0
957,2,0.1,Randomized,0
958,2,0.0,Naive,0
959,2,0.1,Randomized,0
960,2,0.0,Naive,0
961,2,0.1,Randomized,0
962,2,0.0,Naive,0
963,2,0.1,Randomized,0
964,2,0.0,Naive,0
965,2,0.1,Randomized,0
966,2,0.0,Naive,0
967,2,0.1,Randomized,0
968,2,0.0,Naive,0
969,2,0.1,Randomized,0
970,2,0.0,Naive,0
971,2,0.1,Randomized,0
972,2,0.0,Naive,0
973,2,0.1,Randomized,0
974,2,0.0,Naive,0
975,2,0.1,Randomized,0
976,2,0.0,Naive,0
977,2,0.1,Randomized,0
978,2,0.0,Naive,0
979,2,0.1,Randomized,0
980,2,0.0,Naive,0
981,2,0.1,Randomized,0
982,2,0.0,Naive,0
983,2,0.1,Randomized,0
984,2,0.0,Naive,0
985,2,0.1,Randomized,0
986,2,0.0,Naive,0
987,2,0.1,Randomized,0
988,2,0.0,Naive,0
989,2,0.1,Randomized,0
990,2,0.0,Naive,0
991,2,0.1,Randomized,0
992,2,0.0,Naive,0
993,2,0.1,Randomized,0
994,2,0.0,Naive,0
995,2,0.1,Randomized,0
996,2,0.0,Naive,0
997,2,0.1,Randomized,0
998,2,0.0,Naive,0
999,2,0.1,Randomized,0
1000,4,0.0,Naive,0
1001,4,0.1,Randomized,0
1002,4,0.0,Naive,1
1003,4,0.1,Randomized,1
1004,4,0.0,Naive,0
1005,4,0.1,Randomized,0
1006,4,0.0,Naive,0
1007,4,0.1,Randomized,0
1008,4,0.0,Naive,0
1009,4,0.1,Randomized,0
1010,4,0.0,Naive,1
1011,4,0.1,Randomized,1
1012,4,0.0,Naive,0
1013,4,0.1,Randomized,0
1014,4,0.0,Naive,0
1015,4,0.1,Randomized,0
1016,4,0.0,Naive,0
1017,4,0.1,Randomized,0
1018,4,0.0,Naive,0
1019,4,0.1,Randomized,0
1020,4,0.0,Naive,0
1021,4,0.1,Randomized,0
1022,4,0.0,Naive,0
1023,4,0.1,Randomized,0
1024,4,0.0,Naive,0
1025,4,0.1,Randomized,0
1026,4,0.0,Naive,1
1027,4,0.1,Randomized,1
1028,4,0.0,Naive,0
1029,4,0.1,Randomized,0
1030,4,0.0,Naive,0
1031,4,0.1,Randomized,0
1032,4,0.0,Naive,0
1033,4,0.1,Randomized,0
1034,4,0.0,Naive,0
1035,4,0.1,Randomized,0
1036,4,0.0,Naive,1
1037,4,0.1,Randomized,0
1038,4,0.0,Naive,1
1039,4,0.1,Randomized,1
1040,4,0.0,Naive,0
1041,4,0.1,Randomized,0
1042,4,0.0,Naive,0
1043,4,0.1,Randomized,0
1044,4,0.0,Naive,0
1045,4,0.1,Randomized,0
1046,4,0.0,Naive,1
1047,4,0.1,Randomized,0
1048,4,0.0,Naive,1
1049,4,0.1,Randomized,1
1050,4,0.0,Naive,0
1051,4,0.1,Randomized,0
1052,4,0.0,Naive,0
1053,4,0.1,Randomized,0
1054,4,0.0,Naive,1
1055,4,0.1,Randomized,0
1056,4,0.0,Naive,0
1057,4,0.1,Randomized,0
1058,4,0.0,Naive,1
1059,4,0.1,Randomized,1
1060,4,0.0,Naive,1
1061,4,0.1,Randomized,1
1062,4,0.0,Naive,0
1063,4,0.1,Randomized,0
1064,4,0.0,Naive,1
1065,4,0.1,Randomized,1
1066,4,0.0,Naive,0
1067,4,0.1,Randomized,0
1068,4,0.0,Naive,1
1069,4,0.1,Randomized,1
1070,4,0.0,Naive,0
1071,4,0.1,Randomized,0
1072,4,0.0,Naive,0
1073,4,0.1,Randomized,0
1074,4,0.0,Naive,1
1075,4,0.1,Randomized,1
1076,4,0.0,Naive,1
1077,4,0.1,Randomized,1
1078,4,0.0,Naive,0
1079,4,0.1,Randomized,0
1080,4,0.0,Naive,0
1081,4,0.1,Randomized,0
1082,4,0.0,Naive,0
1083,4,0.1,Randomized,0
1084,4,0.0,Naive,1
1085,4,0.1,Randomized,1
1086,4,0.0,Naive,0
1087,4,0.1,Randomized,0
1088,4,0.0,Naive,1
1089,4,0.1,Randomized,0
1090,4,0.0,Naive,0
1091,4,0.1,Randomized,0
1092,4,0.0,Naive,1
1093,4,0.1,Randomized,0
1094,4,0.0,Naive,0
1095,4,0.1,Randomized,0
1096,4,0.0,Naive,0
1097,4,0.1,Randomized,0
1098,4,0.0,Naive,0
1099,4,0.1,Randomized,0
1100,4,0.0,Naive,1
1101,4,0.1,Randomized,1
1102,4,0.0,Naive,0
1103,4,0.1,Randomized,0
1104,4,0.0,Naive,0
1105,4,0.1,Randomized,0
1106,4,0.0,Naive,0
1107,4,0.1,Randomized,0
1108,4,0.0,Naive,0
1109,4,0.1,Randomized,0
1110,4,0.0,Naive,0
1111,4,0.1,Randomized,0
1112,4,0.0,Naive,0
1113,4,0.1,Randomized,0
1114,4,0.0,Naive,1
1115,4,0.1,Randomized,1
1116,4,0.0,Naive,0
1117,4,0.1,Randomized,0
1118,4,0.0,Naive,0
1119,4,0.1,Randomized,0
1120,4,0.0,Naive,0
1121,4,0.1,Randomized,0
1122,4,0.0,Naive,1
1123,4,0.1,Randomized,1
1124,4,0.0,Naive,0
1125,4,0.1,Randomized,0
1126,4,0.0,Naive,0
1127,4,0.1,Randomized,0
1128,4,0.0,Naive,1
1129,4,0.1,Randomized,1
1130,4,0.0,Naive,1
1131,4,0.1,Randomized,1
1132,4,0.0,Naive,0
1133,4,0.1,Randomized,0
1134,4,0.0,Naive,0
1135,4,0.1,Randomized,0
1136,4,0.0,Naive,0
1137,4,0.1,Randomized,0
1138,4,0.0,Naive,0
1139,4,0.1,Randomized,0
1140,4,0.0,Naive,0
1141,4,0.1,Randomized,0
1142,4,0.0,Naive,0
1143,4,0.1,Randomized,0
1144,4,0.0,Naive,1
1145,4,0.1,Randomized,1
1146,4,0.0,Naive,0
1147,4,0.1,Randomized,0
1148,4,0.0,Naive,0
1149,4,0.1,Randomized,0
1150,4,0.0,Naive,0
1151,4,0.1,Randomized,0
1152,4,0.0,Naive,0
1153,4,0.1,Randomized,0
1154,4,0.0,Naive,0
1155,4,0.1,Randomized,0
1156,4,0.0,Naive,1
1157,4,0.1,Randomized,0
1158,4,0.0,Naive,0
1159,4,0.1,Randomized,0
1160,4,0.0,Naive,0
1161,4,0.1,Randomized,0
1162,4,0.0,Naive,0
1163,4,0.1,Randomized,0
1164,4,0.0,Naive,1
1165,4,0.1,Randomized,0
1166,4,0.0,Naive,0
1167,4,0.1,Randomized,0
1168,4,0.0,Naive,0
1169,4,0.1,Randomized,0
1170,4,0.0,Naive,0
1171,4,0.1,Randomized,0
1172,4,0.0,Naive,1
1173,4,0.1,Randomized,1
1174,4,0.0,Naive,0
1175,4,0.1,Randomized,0
1176,4,0.0,Naive,0
1177,4,0.1,Randomized,0
1178,4,0.0,Naive,0
1179,4,0.1,Randomized,0
1180,4,0.0,Naive,1
1181,4,0.1,Randomized,1
1182,4,0.0,Naive,0
1183,4,0.1,Randomized,0
1184,4,0.0,Naive,1
1185,4,0.1,Randomized,0
1186,4,0.0,Naive,1
1187,4,0.1,Randomized,1
1188,4,0.0,Naive,0
1189,4,0.1,Randomized,0
1190,4,0.0,Naive,0
1191,4,0.1,Randomized,0
1192,4,0.0,Naive,0
1193,4,0.1,Randomized,1
1194,4,0.0,Naive,1
1195,4,0.1,Randomized,1
1196,4,0.0,Naive,1
1197,4,0.1,Randomized,1
1198,4,0.0,Naive,0
1199,4,0.1,Randomized,0
1200,4,0.0,Naive,0
1201,4,0.1,Randomized,0
1202,4,0.0,Naive,0
1203,4,0.1,Randomized,0
1204,4,0.0,Naive,1
1205,4,0.1,Randomized,1
1206,4,0.0,Naive,0
1207,4,0.1,Randomized,0
1208,4,0.0,Naive,0
1209,4,0.1,Randomized,0
1210,4,0.0,Naive,0
1211,4,0.1,Randomized,0
1212,4,0.0,Naive,0
1213,4,0.1,Randomized,0
1214,4,0.0,Naive,0
1215,4,0.1,Randomized,0
1216,4,0.0,Naive,0
1217,4,0.1,Randomized,0
1218,4,0.0,Naive,0
1219,4,0.1,Randomized,0
1220,4,0.0,Naive,0
1221,4,0.1,Randomized,0
1222,4,0.0,Naive,1
1223,4,0.1,Randomized,0
1224,4,0.0,Naive,0
1225,4,0.1,Randomized,0
1226,4,0.0,Naive,0
1227,4,0.1,Randomized,0
1228,4,0.0,Naive,0
1229,4,0.1,Randomized,0
1230,4,0.0,Naive,1
1231,4,0.1,Randomized,1
1232,4,0.0,Naive,0
1233,4,0.1,Randomized,0
1234,4,0.0,Naive,0
1235,4,0.1,Randomized,0
1236,4,0.0,Naive,0
1237,4,0.1,Randomized,0
1238,4,0.0,Naive,0
1239,4,0.1,Randomized,0
1240,4,0.0,Naive,0
1241,4,0.1,Randomized,0
1242,4,0.0,Naive,0
1243,4,0.1,Randomized,0
1244,4,0.0,Naive,0
1245,4,0.1,Randomized,0
1246,4,0.0,Naive,0
1247,4,0.1,Randomized,0
1248,4,0.0,Naive,0
1249,4,0.1,Randomized,0
1250,4,0.0,Naive,0
1251,4,0.1,Randomized,0
1252,4,0.0,Naive,1
1253,4,0.1,Randomized,0
1254,4,0.0,Naive,0
1255,4,0.1,Randomized,0
1256,4,0.0,Naive,0
1257,4,0.1,Randomized,0
1258,4,0.0,Naive,1
1259,4,0.1,Randomized,0
1260,4,0.0,Naive,0
1261,4,0.1,Randomized,1
1262,4,0.0,Naive,0
1263,4,0.1,Randomized,0
1264,4,0.0,Naive,0
1265,4,0.1,Randomized,0
1266,4,0.0,Naive,0
1267,4,0.1,Randomized,0
1268,4,0.0,Naive,0
1269,4,0.1,Randomized,0
1270,4,0.0,Naive,1
1271,4,0.1,Randomized,1
1272,4,0.0,Naive,0
1273,4,0.1,Randomized,0
1274,4,0.0,Naive,1
1275,4,0.1,Randomized,0
1276,4,0.0,Naive,0
1277,4,0.1,Randomized,0
1278,4,0.0,Naive,1
1279,4,0.1,Randomized,1
1280,4,0.0,Naive,0
1281,4,0.1,Randomized,0
1282,4,0.0,Naive,0
1283,4,0.1,Randomized,0
1284,4,0.0,Naive,1
1285,4,0.1,Randomized,1
1286,4,0.0,Naive,0
1287,4,0.1,Randomized,0
1288,4,0.0,Naive,0
1289,4,0.1,Randomized,0
1290,4,0.0,Naive,1
1291,4,0.1,Randomized,1
1292,4,0.0,Naive,0
1293,4,0.1,Randomized,0
1294,4,0.0,Naive,0
1295,4,0.1,Randomized,0
1296,4,0.0,Naive,0
1297,4,0.1,Randomized,0
1298,4,0.0,Naive,0
1299,4,0.1,Randomized,1
1300,4,0.0,Naive,0
1301,4,0.1,Randomized,0
1302,4,0.0,Naive,0
1303,4,0.1,Randomized,0
1304,4,0.0,Naive,1
1305,4,0.1,Randomized,1
1306,4,0.0,Naive,1
1307,4,0.1,Randomized,1
1308,4,0.0,Naive,1
1309,4,0.1,Randomized,1
1310,4,0.0,Naive,0
1311,4,0.1,Randomized,0
1312,4,0.0,Naive,1
1313,4,0.1,Randomized,1
1314,4,0.0,Naive,1
1315,4,0.1,Randomized,1
1316,4,0.0,Naive,0
1317,4,0.1,Randomized,0
1318,4,0.0,Naive,0
1319,4,0.1,Randomized,0
1320,4,0.0,Naive,0
1321,4,0.1,Randomized,0
1322,4,0.0,Naive,0
1323,4,0.1,Randomized,0
1324,4,0.0,Naive,0
1325,4,0.1,Randomized,0
1326,4,0.0,Naive,1
1327,4,0.1,Randomized,1
1328,4,0.0,Naive,0
1329,4,0.1,Randomized,0
1330,4,0.0,Naive,0
1331,4,0.1,Randomized,0
1332,4,0.0,Naive,0
1333,4,0.1,Randomized,0
1334,4,0.0,Naive,1
1335,4,0.1,Randomized,1
1336,4,0.0,Naive,1
1337,4,0.1,Randomized,1
1338,4,0.0,Naive,1
1339,4,0.1,Randomized,1
1340,4,0.0,Naive,0
1341,4,0.1,Randomized,0
1342,4,0.0,Naive,0
1343,4,0.1,Randomized,0
1344,4,0.0,Naive,0
1345,4,0.1,Randomized,1
1346,4,0.0,Naive,0
1347,4,0.1,Randomized,0
1348,4,0.0,Naive,0
1349,4,0.1,Randomized,0
1350,4,0.0,Naive,0
1351,4,0.1,Randomized,0
1352,4,0.0,Naive,1
1353,4,0.1,Randomized,1
1354,4,0.0,Naive,0
1355,4,0.1,Randomized,0
1356,4,0.0,Naive,1
1357,4,0.1,Randomized,1
1358,4,0.0,Naive,0
1359,4,0.1,Randomized,0
1360,4,0.0,Naive,0
1361,4,0.1,Randomized,0
1362,4,0.0,Naive,0
1363,4,0.1,Randomized,0
1364,4,0.0,Naive,0
1365,4,0.1,Randomized,0
1366,4,0.0,Naive,0
1367,4,0.1,Randomized,0
1368,4,0.0,Naive,0
1369,4,0.1,Randomized,0
1370,4,0.0,Naive,1
1371,4,0.1,Randomized,1
1372,4,0.0,Naive,0
1373,4,0.1,Randomized,0
1374,4,0.0,Naive,0
1375,4,0.1,Randomized,0
1376,4,0.0,Naive,0
1377,4,0.1,Randomized,0
1378,4,0.0,Naive,0
1379,4,0.1,Randomized,0
1380,4,0.0,Naive,1
1381,4,0.1,Randomized,0
1382,4,0.0,Naive,1
1383,4,0.1,Randomized,1
1384,4,0.0,Naive,1
1385,4,0.1,Randomized,1
1386,4,0.0,Naive,1
1387,4,0.1,Randomized,1
1388,4,0.0,Naive,1
1389,4,0.1,Randomized,0
1390,4,0.0,Naive,0
1391,4,0.1,Randomized,0
1392,4,0.0,Naive,0
1393,4,0.1,Randomized,0
1394,4,0.0,Naive,0
1395,4,0.1,Randomized,0
1396,4,0.0,Naive,1
1397,4,0.1,Randomized,1
1398,4,0.0,Naive,0
1399,4,0.1,Randomized,0
1400,4,0.0,Naive,1
1401,4,0.1,Randomized,1
1402,4,0.0,Naive,0
1403,4,0.1,Randomized,0
1404,4,0.0,Naive,0
1405,4,0.1,Randomized,0
1406,4,0.0,Naive,0
1407,4,0.1,Randomized,0
1408,4,0.0,Naive,1
1409,4,0.1,Randomized,0
1410,4,0.0,Naive,1
1411,4,0.1,Randomized,1
1412,4,0.0,Naive,0
1413,4,0.1,Randomized,0
1414,4,0.0,Naive,0
1415,4,0.1,Randomized,0
1416,4,0.0,Naive,0
1417,4,0.1,Randomized,0
1418,4,0.0,Naive,0
1419,4,0.1,Randomized,0
1420,4,0.0,Naive,0
1421,4,0.1,Randomized,0
1422,4,0.0,Naive,0
1423,4,0.1,Randomized,0
1424,4,0.0,Naive,0
1425,4,0.1,Randomized,0
1426,4,0.0,Naive,1
1427,4,0.1,Randomized,1
1428,4,0.0,Naive,0
1429,4,0.1,Randomized,0
1430,4,0.0,Naive,0
1431,4,0.1,Randomized,0
1432,4,0.0,Naive,1
1433,4,0.1,Randomized,1
1434,4,0.0,Naive,0
1435,4,0.1,Randomized,0
1436,4,0.0,Naive,0
1437,4,0.1,Randomized,0
1438,4,0.0,Naive,1
1439,4,0.1,Randomized,1
1440,4,0.0,Naive,1
1441,4,0.1,Randomized,1
1442,4,0.0,Naive,0
1443,4,0.1,Randomized,0
1444,4,0.0,Naive,1
1445,4,0.1,Randomized,1
1446,4,0.0,Naive,0
1447,4,0.1,Randomized,0
1448,4,0.0,Naive,1
1449,4,0.1,Randomized,1
1450,4,0.0,Naive,0
1451,4,0.1,Randomized,0
1452,4,0.0,Naive,0
1453,4,0.1,Randomized,0
1454,4,0.0,Naive,0
1455,4,0.1,Randomized,0
1456,4,0.0,Naive,0
1457,4,0.1,Randomized,0
1458,4,0.0,Naive,0
1459,4,0.1,Randomized,0
1460,4,0.0,Naive,0
1461,4,0.1,Randomized,0
1462,4,0.0,Naive,1
1463,4,0.1,Randomized,1
1464,4,0.0,Naive,0
1465,4,0.1,Randomized,0
1466,4,0.0,Naive,0
1467,4,0.1,Randomized,0
1468,4,0.0,Naive,0
1469,4,0.1,Randomized,0
1470,4,0.0,Naive,0
1471,4,0.1,Randomized,0
1472,4,0.0,Naive,1
1473,4,0.1,Randomized,0
1474,4,0.0,Naive,0
1475,4,0.1,Randomized,0
1476,4,0.0,Naive,0
1477,4,0.1,Randomized,0
1478,4,0.0,Naive,1
1479,4,0.1,Randomized,1
1480,4,0.0,Naive,0
1481,4,0.1,Randomized,0
1482,4,0.0,Naive,0
1483,4,0.1,Randomized,1
1484,4,0.0,Naive,0
1485,4,0.1,Randomized,0
1486,4,0.0,Naive,0
1487,4,0.1,Randomized,0
1488,4,0.0,Naive,1
1489,4,0.1,Randomized,0
1490,4,0.0,Naive,1
1491,4,0.1,Randomized,0
1492,4,0.0,Naive,0
1493,4,0.1,Randomized,0
1494,4,0.0,Naive,1
1495,4,0.1,Randomized,1
1496,4,0.0,Naive,0
1497,4,0.1,Randomized,0
1498,4,0.0,Naive,0
1499,4,0.1,Randomized,0
1500,4,0.0,Naive,1
1501,4,0.1,Randomized,1
1502,4,0.0,Naive,0
1503,4,0.1,Randomized,0
1504,4,0.0,Naive,1
1505,4,0.1,Randomized,1
1506,4,0.0,Naive,0
1507,4,0.1,Randomized,0
1508,4,0.0,Naive,1
1509,4,0.1,Randomized,1
1510,4,0.0,Naive,0
1511,4,0.1,Randomized,0
1512,4,0.0,Naive,0
1513,4,0.1,Randomized,0
1514,4,0.0,Naive,0
1515,4,0.1,Randomized,0
1516,4,0.0,Naive,1
1517,4,0.1,Randomized,1
1518,4,0.0,Naive,0
1519,4,0.1,Randomized,0
1520,4,0.0,Naive,0
1521,4,0.1,Randomized,0
1522,4,0.0,Naive,0
1523,4,0.1,Randomized,0
1524,4,0.0,Naive,0
1525,4,0.1,Randomized,0
1526,4,0.0,Naive,0
1527,4,0.1,Randomized,0
1528,4,0.0,Naive,0
1529,4,0.1,Randomized,0
1530,4,0.0,Naive,0
1531,4,0.1,Randomized,0
1532,4,0.0,Naive,0
1533,4,0.1,Randomized,0
1534,4,0.0,Naive,0
1535,4,0.1,Randomized,0
1536,4,0.0,Naive,0
1537,4,0.1,Randomized,0
1538,4,0.0,Naive,0
1539,4,0.1,Randomized,0
1540,4,0.0,Naive,0
1541,4,0.1,Randomized,0
1542,4,0.0,Naive,0
1543,4,0.1,Randomized,0
1544,4,0.0,Naive,0
1545,4,0.1,Randomized,0
1546,4,0.0,Naive,0
1547,4,0.1,Randomized,0
1548,4,0.0,Naive,0
1549,4,0.1,Randomized,0
1550,4,0.0,Naive,0
1551,4,0.1,Randomized,0
1552,4,0.0,Naive,1
1553,4,0.1,Randomized,1
1554,4,0.0,Naive,1
1555,4,0.1,Randomized,1
1556,4,0.0,Naive,1
1557,4,0.1,Randomized,1
1558,4,0.0,Naive,0
1559,4,0.1,Randomized,0
1560,4,0.0,Naive,0
1561,4,0.1,Randomized,0
1562,4,0.0,Naive,1
1563,4,0.1,Randomized,1
1564,4,0.0,Naive,0
1565,4,0.1,Randomized,0
1566,4,0.0,Naive,0
1567,4,0.1,Randomized,0
1568,4,0.0,Naive,0
1569,4,0.1,Randomized,0
1570,4,0.0,Naive,0
1571,4,0.1,Randomized,0
1572,4,0.0,Naive,0
1573,4,0.1,Randomized,0
1574,4,0.0,Naive,0
1575,4,0.1,Randomized,0
1576,4,0.0,Naive,0
1577,4,0.1,Randomized,0
1578,4,0.0,Naive,0
1579,4,0.1,Randomized,0
1580,4,0.0,Naive,1
1581,4,0.1,Randomized,0
1582,4,0.0,Naive,0
1583,4,0.1,Randomized,0
1584,4,0.0,Naive,0
1585,4,0.1,Randomized,0
1586,4,0.0,Naive,0
1587,4,0.1,Randomized,0
1588,4,0.0,Naive,0
1589,4,0.1,Randomized,0
1590,4,0.0,Naive,0
1591,4,0.1,Randomized,0
1592,4,0.0,Naive,0
1593,4,0.1,Randomized,0
1594,4,0.0,Naive,0
1595,4,0.1,Randomized,0
1596,4,0.0,Naive,0
1597,4,0.1,Randomized,0
1598,4,0.0,Naive,1
1599,4,0.1,Randomized,1
1600,4,0.0,Naive,0
1601,4,0.1,Randomized,0
1602,4,0.0,Naive,1
1603,4,0.1,Randomized,1
1604,4,0.0,Naive,0
1605,4,0.1,Randomized,0
1606,4,0.0,Naive,1
1607,4,0.1,Randomized,1
1608,4,0.0,Naive,1
1609,4,0.1,Randomized,1
1610,4,0.0,Naive,0
1611,4,0.1,Randomized,1
1612,4,0.0,Naive,0
1613,4,0.1,Randomized,0
1614,4,0.0,Naive,0
1615,4,0.1,Randomized,0
1616,4,0.0,Naive,0
1617,4,0.1,Randomized,0
1618,4,0.0,Naive,0
1619,4,0.1,Randomized,0
1620,4,0.0,Naive,0
1621,4,0.1,Randomized,0
1622,4,0.0,Naive,0
1623,4,0.1,Randomized,0
1624,4,0.0,Naive,1
1625,4,0.1,Randomized,1
1626,4,0.0,Naive,1
1627,4,0.1,Randomized,1
1628,4,0.0,Naive,1
1629,4,0.1,Randomized,0
1630,4,0.0,Naive,0
1631,4,0.1,Randomized,0
1632,4,0.0,Naive,0
1633,4,0.1,Randomized,0
1634,4,0.0,Naive,0
1635,4,0.1,Randomized,0
1636,4,0.0,Naive,0
1637,4,0.1,Randomized,0
1638,4,0.0,Naive,0
1639,4,0.1,Randomized,0
1640,4,0.0,Naive,0
1641,4,0.1,Randomized,0
1642,4,0.0,Naive,0
1643,4,0.1,Randomized,0
1644,4,0.0,Naive,0
1645,4,0.1,Randomized,0
1646,4,0.0,Naive,1
1647,4,0.1,Randomized,1
1648,4,0.0,Naive,0
1649,4,0.1,Randomized,0
1650,4,0.0,Naive,0
1651,4,0.1,Randomized,0
1652,4,0.0,Naive,0
1653,4,0.1,Randomized,0
1654,4,0.0,Naive,1
1655,4,0.1,Randomized,1
1656,4,0.0,Naive,0
1657,4,0.1,Randomized,0
1658,4,0.0,Naive,1
1659,4,0.1,Randomized,1
1660,4,0.0,Naive,0
1661,4,0.1,Randomized,0
1662,4,0.0,Naive,1
1663,4,0.1,Randomized,0
1664,4,0.0,Naive,0
1665,4,0.1,Randomized,0
1666,4,0.0,Naive,0
1667,4,0.1,Randomized,0
1668,4,0.0,Naive,1
1669,4,0.1,Randomized,1
1670,4,0.0,Naive,0
1671,4,0.1,Randomized,0
1672,4,0.0,Naive,0
1673,4,0.1,Randomized,0
1674,4,0.0,Naive,1
1675,4,0.1,Randomized,0
1676,4,0.0,Naive,0
1677,4,0.1,Randomized,0
1678,4,0.0,Naive,0
1679,4,0.1,Randomized,0
1680,4,0.0,Naive,0
1681,4,0.1,Randomized,0
1682,4,0.0,Naive,0
1683,4,0.1,Randomized,0
1684,4,0.0,Naive,0
1685,4,0.1,Randomized,0
1686,4,0.0,Naive,1
1687,4,0.1,Randomized,1
1688,4,0.0,Naive,0
1689,4,0.1,Randomized,0
1690,4,0.0,Naive,0
1691,4,0.1,Randomized,0
1692,4,0.0,Naive,1
1693,4,0.1,Randomized,0
1694,4,0.0,Naive,0
1695,4,0.1,Randomized,0
1696,4,0.0,Naive,1
1697,4,0.1,Randomized,1
1698,4,0.0,Naive,0
1699,4,0.1,Randomized,1
1700,4,0.0,Naive,1
1701,4,0.1,Randomized,1
1702,4,0.0,Naive,0
1703,4,0.1,Randomized,0
1704,4,0.0,Naive,0
1705,4,0.1,Randomized,0
1706,4,0.0,Naive,1
1707,4,0.1,Randomized,1
1708,4,0.0,Naive,1
1709,4,0.1,Randomized,0
1710,4,0.0,Naive,0
1711,4,0.1,Randomized,0
1712,4,0.0,Naive,0
1713,4,0.1,Randomized,0
1714,4,0.0,Naive,0
1715,4,0.1,Randomized,0
1716,4,0.0,Naive,1
1717,4,0.1,Randomized,0
1718,4,0.0,Naive,0
1719,4,0.1,Randomized,0
1720,4,0.0,Naive,0
1721,4,0.1,Randomized,0
1722,4,0.0,Naive,1
1723,4,0.1,Randomized,1
1724,4,0.0,Naive,0
1725,4,0.1,Randomized,0
1726,4,0.0,Naive,1
1727,4,0.1,Randomized,1
1728,4,0.0,Naive,0
1729,4,0.1,Randomized,0
1730,4,0.0,Naive,0
1731,4,0.1,Randomized,0
1732,4,0.0,Naive,0
1733,4,0.1,Randomized,0
1734,4,0.0,Naive,0
1735,4,0.1,Randomized,0
1736,4,0.0,Naive,0
1737,4,0.1,Randomized,0
1738,4,0.0,Naive,1
1739,4,0.1,Randomized,1
1740,4,0.0,Naive,0
1741,4,0.1,Randomized,0
1742,4,0.0,Naive,0
1743,4,0.1,Randomized,0
1744,4,0.0,Naive,1
1745,4,0.1,Randomized,0
1746,4,0.0,Naive,0
1747,4,0.1,Randomized,0
1748,4,0.0,Naive,0
1749,4,0.1,Randomized,0
1750,4,0.0,Naive,0
1751,4,0.1,Randomized,0
1752,4,0.0,Naive,1
1753,4,0.1,Randomized,0
1754,4,0.0,Naive,1
1755,4,0.1,Randomized,1
1756,4,0.0,Naive,0
1757,4,0.1,Randomized,0
1758,4,0.0,Naive,0
1759,4,0.1,Randomized,0
1760,4,0.0,Naive,0
1761,4,0.1,Randomized,0
1762,4,0.0,Naive,0
1763,4,0.1,Randomized,0
1764,4,0.0,Naive,1
1765,4,0.1,Randomized,1
1766,4,0.0,Naive,0
1767,4,0.1,Randomized,0
1768,4,0.0,Naive,1
1769,4,0.1,Randomized,1
1770,4,0.0,Naive,0
1771,4,0.1,Randomized,0
1772,4,0.0,Naive,1
1773,4,0.1,Randomized,1
1774,4,0.0,Naive,1
1775,4,0.1,Randomized,0
1776,4,0.0,Naive,0
1777,4,0.1,Randomized,0
1778,4,0.0,Naive,0
1779,4,0.1,Randomized,0
1780,4,0.0,Naive,1
1781,4,0.1,Randomized,1
1782,4,0.0,Naive,1
1783,4,0.1,Randomized,1
1784,4,0.0,Naive,1
1785,4,0.1,Randomized,0
1786,4,0.0,Naive,0
1787,4,0.1,Randomized,0
1788,4,0.0,Naive,0
1789,4,0.1,Randomized,0
1790,4,0.0,Naive,0
1791,4,0.1,Randomized,0
1792,4,0.0,Naive,0
1793,4,0.1,Randomized,0
1794,4,0.0,Naive,0
1795,4,0.1,Randomized,0
1796,4,0.0,Naive,1
1797,4,0.1,Randomized,0
1798,4,0.0,Naive,0
1799,4,0.1,Randomized,0
1800,4,0.0,Naive,0
1801,4,0.1,Randomized,0
1802,4,0.0,Naive,0
1803,4,0.1,Randomized,0
1804,4,0.0,Naive,0
1805,4,0.1,Randomized,1
1806,4,0.0,Naive,1
1807,4,0.1,Randomized,1
1808,4,0.0,Naive,0
1809,4,0.1,Randomized,0
1810,4,0.0,Naive,0
1811,4,0.1,Randomized,0
1812,4,0.0,Naive,1
1813,4,0.1,Randomized,0
1814,4,0.0,Naive,0
1815,4,0.1,Randomized,0
1816,4,0.0,Naive,0
1817,4,0.1,Randomized,0
1818,4,0.0,Naive,1
1819,4,0.1,Randomized,1
1820,4,0.0,Naive,1
1821,4,0.1,Randomized,1
1822,4,0.0,Naive,0
1823,4,0.1,Randomized,0
1824,4,0.0,Naive,0
1825,4,0.1,Randomized,1
1826,4,0.0,Naive,0
1827,4,0.1,Randomized,0
1828,4,0.0,Naive,0
1829,4,0.1,Randomized,0
1830,4,0.0,Naive,0
1831,4,0.1,Randomized,0
1832,4,0.0,Naive,0
1833,4,0.1,Randomized,0
1834,4,0.0,Naive,0
1835,4,0.1,Randomized,0
1836,4,0.0,Naive,0
1837,4,0.1,Randomized,0
1838,4,0.0,Naive,0
1839,4,0.1,Randomized,0
1840,4,0.0,Naive,0
1841,4,0.1,Randomized,0
1842,4,0.0,Naive,0
1843,4,0.1,Randomized,0
1844,4,0.0,Naive,1
1845,4,0.1,Randomized,1
1846,4,0.0,Naive,0
1847,4,0.1,Randomized,0
1848,4,0.0,Naive,0
1849,4,0.1,Randomized,0
1850,4,0.0,Naive,0
1851,4,0.1,Randomized,0
1852,4,0.0,Naive,1
1853,4,0.1,Randomized,1
1854,4,0.0,Naive,0
1855,4,0.1,Randomized,0
1856,4,0.0,Naive,0
1857,4,0.1,Randomized,0
1858,4,0.0,Naive,1
1859,4,0.1,Randomized,1
